	0	len
155	[unused150]	11
156	[unused151]	11
157	[unused152]	11
158	[unused153]	11
159	[unused154]	11
160	[unused155]	11
161	[unused156]	11
162	[unused157]	11
163	[unused158]	11
164	[unused159]	11
165	[unused160]	11
166	[unused161]	11
167	[unused162]	11
168	[unused163]	11
169	[unused164]	11
170	[unused165]	11
171	[unused166]	11
172	[unused167]	11
173	[unused168]	11
174	[unused169]	11
175	[unused170]	11
176	[unused171]	11
177	[unused172]	11
178	[unused173]	11
179	[unused174]	11
180	[unused175]	11
181	[unused176]	11
182	[unused177]	11
183	[unused178]	11
184	[unused179]	11
185	[unused180]	11
186	[unused181]	11
187	[unused182]	11
188	[unused183]	11
189	[unused184]	11
190	[unused185]	11
191	[unused186]	11
192	[unused187]	11
193	[unused188]	11
194	[unused189]	11
195	[unused190]	11
196	[unused191]	11
197	[unused192]	11
198	[unused193]	11
199	[unused194]	11
200	[unused195]	11
201	[unused196]	11
202	[unused197]	11
203	[unused198]	11
204	[unused199]	11
205	[unused200]	11
206	[unused201]	11
207	[unused202]	11
208	[unused203]	11
209	[unused204]	11
210	[unused205]	11
211	[unused206]	11
212	[unused207]	11
213	[unused208]	11
214	[unused209]	11
215	[unused210]	11
216	[unused211]	11
217	[unused212]	11
218	[unused213]	11
219	[unused214]	11
220	[unused215]	11
221	[unused216]	11
222	[unused217]	11
223	[unused218]	11
224	[unused219]	11
225	[unused220]	11
226	[unused221]	11
227	[unused222]	11
228	[unused223]	11
229	[unused224]	11
230	[unused225]	11
231	[unused226]	11
232	[unused227]	11
233	[unused228]	11
234	[unused229]	11
235	[unused230]	11
236	[unused231]	11
237	[unused232]	11
238	[unused233]	11
239	[unused234]	11
240	[unused235]	11
241	[unused236]	11
242	[unused237]	11
243	[unused238]	11
244	[unused239]	11
245	[unused240]	11
246	[unused241]	11
247	[unused242]	11
248	[unused243]	11
249	[unused244]	11
250	[unused245]	11
251	[unused246]	11
252	[unused247]	11
253	[unused248]	11
254	[unused249]	11
255	[unused250]	11
256	[unused251]	11
257	[unused252]	11
258	[unused253]	11
259	[unused254]	11
260	[unused255]	11
261	[unused256]	11
262	[unused257]	11
263	[unused258]	11
264	[unused259]	11
265	[unused260]	11
266	[unused261]	11
267	[unused262]	11
268	[unused263]	11
269	[unused264]	11
270	[unused265]	11
271	[unused266]	11
272	[unused267]	11
273	[unused268]	11
274	[unused269]	11
275	[unused270]	11
276	[unused271]	11
277	[unused272]	11
278	[unused273]	11
279	[unused274]	11
280	[unused275]	11
281	[unused276]	11
282	[unused277]	11
283	[unused278]	11
284	[unused279]	11
285	[unused280]	11
286	[unused281]	11
287	[unused282]	11
288	[unused283]	11
289	[unused284]	11
290	[unused285]	11
291	[unused286]	11
292	[unused287]	11
293	[unused288]	11
294	[unused289]	11
295	[unused290]	11
296	[unused291]	11
297	[unused292]	11
298	[unused293]	11
299	[unused294]	11
300	[unused295]	11
301	[unused296]	11
302	[unused297]	11
303	[unused298]	11
304	[unused299]	11
305	[unused300]	11
306	[unused301]	11
307	[unused302]	11
308	[unused303]	11
309	[unused304]	11
310	[unused305]	11
311	[unused306]	11
312	[unused307]	11
313	[unused308]	11
314	[unused309]	11
315	[unused310]	11
316	[unused311]	11
317	[unused312]	11
318	[unused313]	11
319	[unused314]	11
320	[unused315]	11
321	[unused316]	11
322	[unused317]	11
323	[unused318]	11
324	[unused319]	11
325	[unused320]	11
326	[unused321]	11
327	[unused322]	11
328	[unused323]	11
329	[unused324]	11
330	[unused325]	11
331	[unused326]	11
332	[unused327]	11
333	[unused328]	11
334	[unused329]	11
335	[unused330]	11
336	[unused331]	11
337	[unused332]	11
338	[unused333]	11
339	[unused334]	11
340	[unused335]	11
341	[unused336]	11
342	[unused337]	11
343	[unused338]	11
344	[unused339]	11
345	[unused340]	11
346	[unused341]	11
347	[unused342]	11
348	[unused343]	11
349	[unused344]	11
350	[unused345]	11
351	[unused346]	11
352	[unused347]	11
353	[unused348]	11
354	[unused349]	11
355	[unused350]	11
356	[unused351]	11
357	[unused352]	11
358	[unused353]	11
359	[unused354]	11
360	[unused355]	11
361	[unused356]	11
362	[unused357]	11
363	[unused358]	11
364	[unused359]	11
365	[unused360]	11
366	[unused361]	11
367	[unused362]	11
368	[unused363]	11
369	[unused364]	11
370	[unused365]	11
371	[unused366]	11
372	[unused367]	11
373	[unused368]	11
374	[unused369]	11
375	[unused370]	11
376	[unused371]	11
377	[unused372]	11
378	[unused373]	11
379	[unused374]	11
380	[unused375]	11
381	[unused376]	11
382	[unused377]	11
383	[unused378]	11
384	[unused379]	11
385	[unused380]	11
386	[unused381]	11
387	[unused382]	11
388	[unused383]	11
389	[unused384]	11
390	[unused385]	11
391	[unused386]	11
392	[unused387]	11
393	[unused388]	11
394	[unused389]	11
395	[unused390]	11
396	[unused391]	11
397	[unused392]	11
398	[unused393]	11
399	[unused394]	11
400	[unused395]	11
401	[unused396]	11
402	[unused397]	11
403	[unused398]	11
404	[unused399]	11
405	[unused400]	11
406	[unused401]	11
407	[unused402]	11
408	[unused403]	11
409	[unused404]	11
410	[unused405]	11
411	[unused406]	11
412	[unused407]	11
413	[unused408]	11
414	[unused409]	11
415	[unused410]	11
416	[unused411]	11
417	[unused412]	11
418	[unused413]	11
419	[unused414]	11
420	[unused415]	11
421	[unused416]	11
422	[unused417]	11
423	[unused418]	11
424	[unused419]	11
425	[unused420]	11
426	[unused421]	11
427	[unused422]	11
428	[unused423]	11
429	[unused424]	11
430	[unused425]	11
431	[unused426]	11
432	[unused427]	11
433	[unused428]	11
434	[unused429]	11
435	[unused430]	11
436	[unused431]	11
437	[unused432]	11
438	[unused433]	11
439	[unused434]	11
440	[unused435]	11
441	[unused436]	11
442	[unused437]	11
443	[unused438]	11
444	[unused439]	11
445	[unused440]	11
446	[unused441]	11
447	[unused442]	11
448	[unused443]	11
449	[unused444]	11
450	[unused445]	11
451	[unused446]	11
452	[unused447]	11
453	[unused448]	11
454	[unused449]	11
455	[unused450]	11
456	[unused451]	11
457	[unused452]	11
458	[unused453]	11
459	[unused454]	11
460	[unused455]	11
461	[unused456]	11
462	[unused457]	11
463	[unused458]	11
464	[unused459]	11
465	[unused460]	11
466	[unused461]	11
467	[unused462]	11
468	[unused463]	11
469	[unused464]	11
470	[unused465]	11
471	[unused466]	11
472	[unused467]	11
473	[unused468]	11
474	[unused469]	11
475	[unused470]	11
476	[unused471]	11
477	[unused472]	11
478	[unused473]	11
479	[unused474]	11
480	[unused475]	11
481	[unused476]	11
482	[unused477]	11
483	[unused478]	11
484	[unused479]	11
485	[unused480]	11
486	[unused481]	11
487	[unused482]	11
488	[unused483]	11
489	[unused484]	11
490	[unused485]	11
491	[unused486]	11
492	[unused487]	11
493	[unused488]	11
494	[unused489]	11
495	[unused490]	11
496	[unused491]	11
497	[unused492]	11
498	[unused493]	11
499	[unused494]	11
500	[unused495]	11
501	[unused496]	11
502	[unused497]	11
503	[unused498]	11
504	[unused499]	11
505	[unused500]	11
506	[unused501]	11
507	[unused502]	11
508	[unused503]	11
509	[unused504]	11
510	[unused505]	11
511	[unused506]	11
512	[unused507]	11
513	[unused508]	11
514	[unused509]	11
515	[unused510]	11
516	[unused511]	11
517	[unused512]	11
518	[unused513]	11
519	[unused514]	11
520	[unused515]	11
521	[unused516]	11
522	[unused517]	11
523	[unused518]	11
524	[unused519]	11
525	[unused520]	11
526	[unused521]	11
527	[unused522]	11
528	[unused523]	11
529	[unused524]	11
530	[unused525]	11
531	[unused526]	11
532	[unused527]	11
533	[unused528]	11
534	[unused529]	11
535	[unused530]	11
536	[unused531]	11
537	[unused532]	11
538	[unused533]	11
539	[unused534]	11
540	[unused535]	11
541	[unused536]	11
542	[unused537]	11
543	[unused538]	11
544	[unused539]	11
545	[unused540]	11
546	[unused541]	11
547	[unused542]	11
548	[unused543]	11
549	[unused544]	11
550	[unused545]	11
551	[unused546]	11
552	[unused547]	11
553	[unused548]	11
554	[unused549]	11
555	[unused550]	11
556	[unused551]	11
557	[unused552]	11
558	[unused553]	11
559	[unused554]	11
560	[unused555]	11
561	[unused556]	11
562	[unused557]	11
563	[unused558]	11
564	[unused559]	11
565	[unused560]	11
566	[unused561]	11
567	[unused562]	11
568	[unused563]	11
569	[unused564]	11
570	[unused565]	11
571	[unused566]	11
572	[unused567]	11
573	[unused568]	11
574	[unused569]	11
575	[unused570]	11
576	[unused571]	11
577	[unused572]	11
578	[unused573]	11
579	[unused574]	11
580	[unused575]	11
581	[unused576]	11
582	[unused577]	11
583	[unused578]	11
584	[unused579]	11
585	[unused580]	11
586	[unused581]	11
587	[unused582]	11
588	[unused583]	11
589	[unused584]	11
590	[unused585]	11
591	[unused586]	11
592	[unused587]	11
593	[unused588]	11
594	[unused589]	11
595	[unused590]	11
596	[unused591]	11
597	[unused592]	11
598	[unused593]	11
599	[unused594]	11
600	[unused595]	11
601	[unused596]	11
602	[unused597]	11
603	[unused598]	11
604	[unused599]	11
605	[unused600]	11
606	[unused601]	11
607	[unused602]	11
608	[unused603]	11
609	[unused604]	11
610	[unused605]	11
611	[unused606]	11
612	[unused607]	11
613	[unused608]	11
614	[unused609]	11
615	[unused610]	11
616	[unused611]	11
617	[unused612]	11
618	[unused613]	11
619	[unused614]	11
620	[unused615]	11
621	[unused616]	11
622	[unused617]	11
623	[unused618]	11
624	[unused619]	11
625	[unused620]	11
626	[unused621]	11
627	[unused622]	11
628	[unused623]	11
629	[unused624]	11
630	[unused625]	11
631	[unused626]	11
632	[unused627]	11
633	[unused628]	11
634	[unused629]	11
635	[unused630]	11
636	[unused631]	11
637	[unused632]	11
638	[unused633]	11
639	[unused634]	11
640	[unused635]	11
641	[unused636]	11
642	[unused637]	11
643	[unused638]	11
644	[unused639]	11
645	[unused640]	11
646	[unused641]	11
647	[unused642]	11
648	[unused643]	11
649	[unused644]	11
650	[unused645]	11
651	[unused646]	11
652	[unused647]	11
653	[unused648]	11
654	[unused649]	11
655	[unused650]	11
656	[unused651]	11
657	[unused652]	11
658	[unused653]	11
659	[unused654]	11
660	[unused655]	11
661	[unused656]	11
662	[unused657]	11
663	[unused658]	11
664	[unused659]	11
665	[unused660]	11
666	[unused661]	11
667	[unused662]	11
668	[unused663]	11
669	[unused664]	11
670	[unused665]	11
671	[unused666]	11
672	[unused667]	11
673	[unused668]	11
674	[unused669]	11
675	[unused670]	11
676	[unused671]	11
677	[unused672]	11
678	[unused673]	11
679	[unused674]	11
680	[unused675]	11
681	[unused676]	11
682	[unused677]	11
683	[unused678]	11
684	[unused679]	11
685	[unused680]	11
686	[unused681]	11
687	[unused682]	11
688	[unused683]	11
689	[unused684]	11
690	[unused685]	11
691	[unused686]	11
692	[unused687]	11
693	[unused688]	11
694	[unused689]	11
695	[unused690]	11
696	[unused691]	11
697	[unused692]	11
698	[unused693]	11
699	[unused694]	11
700	[unused695]	11
701	[unused696]	11
702	[unused697]	11
703	[unused698]	11
704	[unused699]	11
705	[unused700]	11
706	[unused701]	11
707	[unused702]	11
708	[unused703]	11
709	[unused704]	11
710	[unused705]	11
711	[unused706]	11
712	[unused707]	11
713	[unused708]	11
714	[unused709]	11
715	[unused710]	11
716	[unused711]	11
717	[unused712]	11
718	[unused713]	11
719	[unused714]	11
720	[unused715]	11
721	[unused716]	11
722	[unused717]	11
723	[unused718]	11
724	[unused719]	11
725	[unused720]	11
726	[unused721]	11
727	[unused722]	11
728	[unused723]	11
729	[unused724]	11
730	[unused725]	11
731	[unused726]	11
732	[unused727]	11
733	[unused728]	11
734	[unused729]	11
735	[unused730]	11
736	[unused731]	11
737	[unused732]	11
738	[unused733]	11
739	[unused734]	11
740	[unused735]	11
741	[unused736]	11
742	[unused737]	11
743	[unused738]	11
744	[unused739]	11
745	[unused740]	11
746	[unused741]	11
747	[unused742]	11
748	[unused743]	11
749	[unused744]	11
750	[unused745]	11
751	[unused746]	11
752	[unused747]	11
753	[unused748]	11
754	[unused749]	11
755	[unused750]	11
756	[unused751]	11
757	[unused752]	11
758	[unused753]	11
759	[unused754]	11
760	[unused755]	11
761	[unused756]	11
762	[unused757]	11
763	[unused758]	11
764	[unused759]	11
765	[unused760]	11
766	[unused761]	11
767	[unused762]	11
768	[unused763]	11
769	[unused764]	11
770	[unused765]	11
771	[unused766]	11
772	[unused767]	11
773	[unused768]	11
774	[unused769]	11
775	[unused770]	11
776	[unused771]	11
777	[unused772]	11
778	[unused773]	11
779	[unused774]	11
780	[unused775]	11
781	[unused776]	11
782	[unused777]	11
783	[unused778]	11
784	[unused779]	11
785	[unused780]	11
786	[unused781]	11
787	[unused782]	11
788	[unused783]	11
789	[unused784]	11
790	[unused785]	11
791	[unused786]	11
792	[unused787]	11
793	[unused788]	11
794	[unused789]	11
795	[unused790]	11
796	[unused791]	11
797	[unused792]	11
798	[unused793]	11
799	[unused794]	11
800	[unused795]	11
801	[unused796]	11
802	[unused797]	11
803	[unused798]	11
804	[unused799]	11
805	[unused800]	11
806	[unused801]	11
807	[unused802]	11
808	[unused803]	11
809	[unused804]	11
810	[unused805]	11
811	[unused806]	11
812	[unused807]	11
813	[unused808]	11
814	[unused809]	11
815	[unused810]	11
816	[unused811]	11
817	[unused812]	11
818	[unused813]	11
819	[unused814]	11
820	[unused815]	11
821	[unused816]	11
822	[unused817]	11
823	[unused818]	11
824	[unused819]	11
825	[unused820]	11
826	[unused821]	11
827	[unused822]	11
828	[unused823]	11
829	[unused824]	11
830	[unused825]	11
831	[unused826]	11
832	[unused827]	11
833	[unused828]	11
834	[unused829]	11
835	[unused830]	11
836	[unused831]	11
837	[unused832]	11
838	[unused833]	11
839	[unused834]	11
840	[unused835]	11
841	[unused836]	11
842	[unused837]	11
843	[unused838]	11
844	[unused839]	11
845	[unused840]	11
846	[unused841]	11
847	[unused842]	11
848	[unused843]	11
849	[unused844]	11
850	[unused845]	11
851	[unused846]	11
852	[unused847]	11
853	[unused848]	11
854	[unused849]	11
855	[unused850]	11
856	[unused851]	11
857	[unused852]	11
858	[unused853]	11
859	[unused854]	11
860	[unused855]	11
861	[unused856]	11
862	[unused857]	11
863	[unused858]	11
864	[unused859]	11
865	[unused860]	11
866	[unused861]	11
867	[unused862]	11
868	[unused863]	11
869	[unused864]	11
870	[unused865]	11
871	[unused866]	11
872	[unused867]	11
873	[unused868]	11
874	[unused869]	11
875	[unused870]	11
876	[unused871]	11
877	[unused872]	11
878	[unused873]	11
879	[unused874]	11
880	[unused875]	11
881	[unused876]	11
882	[unused877]	11
883	[unused878]	11
884	[unused879]	11
885	[unused880]	11
886	[unused881]	11
887	[unused882]	11
888	[unused883]	11
889	[unused884]	11
890	[unused885]	11
891	[unused886]	11
892	[unused887]	11
893	[unused888]	11
894	[unused889]	11
895	[unused890]	11
896	[unused891]	11
897	[unused892]	11
898	[unused893]	11
899	[unused894]	11
900	[unused895]	11
901	[unused896]	11
902	[unused897]	11
903	[unused898]	11
904	[unused899]	11
905	[unused900]	11
906	[unused901]	11
907	[unused902]	11
908	[unused903]	11
909	[unused904]	11
910	[unused905]	11
911	[unused906]	11
912	[unused907]	11
913	[unused908]	11
914	[unused909]	11
915	[unused910]	11
916	[unused911]	11
917	[unused912]	11
918	[unused913]	11
919	[unused914]	11
920	[unused915]	11
921	[unused916]	11
922	[unused917]	11
923	[unused918]	11
924	[unused919]	11
925	[unused920]	11
926	[unused921]	11
927	[unused922]	11
928	[unused923]	11
929	[unused924]	11
930	[unused925]	11
931	[unused926]	11
932	[unused927]	11
933	[unused928]	11
934	[unused929]	11
935	[unused930]	11
936	[unused931]	11
937	[unused932]	11
938	[unused933]	11
939	[unused934]	11
940	[unused935]	11
941	[unused936]	11
942	[unused937]	11
943	[unused938]	11
944	[unused939]	11
945	[unused940]	11
946	[unused941]	11
947	[unused942]	11
948	[unused943]	11
949	[unused944]	11
950	[unused945]	11
951	[unused946]	11
952	[unused947]	11
953	[unused948]	11
954	[unused949]	11
955	[unused950]	11
956	[unused951]	11
957	[unused952]	11
958	[unused953]	11
959	[unused954]	11
960	[unused955]	11
961	[unused956]	11
962	[unused957]	11
963	[unused958]	11
964	[unused959]	11
965	[unused960]	11
966	[unused961]	11
967	[unused962]	11
968	[unused963]	11
969	[unused964]	11
970	[unused965]	11
971	[unused966]	11
972	[unused967]	11
973	[unused968]	11
974	[unused969]	11
975	[unused970]	11
976	[unused971]	11
977	[unused972]	11
978	[unused973]	11
979	[unused974]	11
980	[unused975]	11
981	[unused976]	11
982	[unused977]	11
983	[unused978]	11
984	[unused979]	11
985	[unused980]	11
986	[unused981]	11
987	[unused982]	11
988	[unused983]	11
989	[unused984]	11
990	[unused985]	11
991	[unused986]	11
992	[unused987]	11
993	[unused988]	11
994	[unused989]	11
995	[unused990]	11
996	[unused991]	11
997	[unused992]	11
998	[unused993]	11
999	!	1
1000	""""	1
1001	#	1
1002	$	1
1003	%	1
1004	&	1
1005	'	1
1006	(	1
1007	)	1
1008	*	1
1009	+	1
1010	,	1
1011	-	1
1012	.	1
1013	/	1
1014	0	1
1015	1	1
1016	2	1
1017	3	1
1018	4	1
1019	5	1
1020	6	1
1021	7	1
1022	8	1
1023	9	1
1024	:	1
1025	;	1
1026	<	1
1027	=	1
1028	>	1
1029	?	1
1030	@	1
1031	[	1
1032	\	1
1033	]	1
1034	^	1
1035	_	1
1036	`	1
1037	a	1
1038	b	1
1039	c	1
1040	d	1
1041	e	1
1042	f	1
1043	g	1
1044	h	1
1045	i	1
1046	j	1
1047	k	1
1048	l	1
1049	m	1
1050	n	1
1051	o	1
1052	p	1
1053	q	1
1054	r	1
1055	s	1
1056	t	1
1057	u	1
1058	v	1
1059	w	1
1060	x	1
1061	y	1
1062	z	1
1063	{	1
1064	|	1
1065	}	1
1066	~	1
1067	¡	1
1068	¢	1
1069	£	1
1070	¤	1
1071	¥	1
1072	¦	1
1073	§	1
1074	¨	1
1075	©	1
1076	ª	1
1077	«	1
1078	¬	1
1079	®	1
1080	°	1
1081	±	1
1082	²	1
1083	³	1
1084	´	1
1085	µ	1
1086	¶	1
1087	·	1
1088	¹	1
1089	º	1
1090	»	1
1091	¼	1
1092	½	1
1093	¾	1
1094	¿	1
1095	×	1
1096	ß	1
1097	æ	1
1098	ð	1
1099	÷	1
1100	ø	1
1101	þ	1
1102	đ	1
1103	ħ	1
1104	ı	1
1105	ł	1
1106	ŋ	1
1107	œ	1
1108	ƒ	1
1109	ɐ	1
1110	ɑ	1
1111	ɒ	1
1112	ɔ	1
1113	ɕ	1
1114	ə	1
1115	ɛ	1
1116	ɡ	1
1117	ɣ	1
1118	ɨ	1
1119	ɪ	1
1120	ɫ	1
1121	ɬ	1
1122	ɯ	1
1123	ɲ	1
1124	ɴ	1
1125	ɹ	1
1126	ɾ	1
1127	ʀ	1
1128	ʁ	1
1129	ʂ	1
1130	ʃ	1
1131	ʉ	1
1132	ʊ	1
1133	ʋ	1
1134	ʌ	1
1135	ʎ	1
1136	ʐ	1
1137	ʑ	1
1138	ʒ	1
1139	ʔ	1
1140	ʰ	1
1141	ʲ	1
1142	ʳ	1
1143	ʷ	1
1144	ʸ	1
1145	ʻ	1
1146	ʼ	1
1147	ʾ	1
1148	ʿ	1
1149	ˈ	1
1150	ː	1
1151	ˡ	1
1152	ˢ	1
1153	ˣ	1
1154	ˤ	1
1155	α	1
1156	β	1
1157	γ	1
1158	δ	1
1159	ε	1
1160	ζ	1
1161	η	1
1162	θ	1
1163	ι	1
1164	κ	1
1165	λ	1
1166	μ	1
1167	ν	1
1168	ξ	1
1169	ο	1
1170	π	1
1171	ρ	1
1172	ς	1
1173	σ	1
1174	τ	1
1175	υ	1
1176	φ	1
1177	χ	1
1178	ψ	1
1179	ω	1
1180	а	1
1181	б	1
1182	в	1
1183	г	1
1184	д	1
1185	е	1
1186	ж	1
1187	з	1
1188	и	1
1189	к	1
1190	л	1
1191	м	1
1192	н	1
1193	о	1
1194	п	1
1195	р	1
1196	с	1
1197	т	1
1198	у	1
1199	ф	1
1200	х	1
1201	ц	1
1202	ч	1
1203	ш	1
1204	щ	1
1205	ъ	1
1206	ы	1
1207	ь	1
1208	э	1
1209	ю	1
1210	я	1
1211	ђ	1
1212	є	1
1213	і	1
1214	ј	1
1215	љ	1
1216	њ	1
1217	ћ	1
1218	ӏ	1
1219	ա	1
1220	բ	1
1221	գ	1
1222	դ	1
1223	ե	1
1224	թ	1
1225	ի	1
1226	լ	1
1227	կ	1
1228	հ	1
1229	մ	1
1230	յ	1
1231	ն	1
1232	ո	1
1233	պ	1
1234	ս	1
1235	վ	1
1236	տ	1
1237	ր	1
1238	ւ	1
1239	ք	1
1240	־	1
1241	א	1
1242	ב	1
1243	ג	1
1244	ד	1
1245	ה	1
1246	ו	1
1247	ז	1
1248	ח	1
1249	ט	1
1250	י	1
1251	ך	1
1252	כ	1
1253	ל	1
1254	ם	1
1255	מ	1
1256	ן	1
1257	נ	1
1258	ס	1
1259	ע	1
1260	ף	1
1261	פ	1
1262	ץ	1
1263	צ	1
1264	ק	1
1265	ר	1
1266	ש	1
1267	ת	1
1268	،	1
1269	ء	1
1270	ا	1
1271	ب	1
1272	ة	1
1273	ت	1
1274	ث	1
1275	ج	1
1276	ح	1
1277	خ	1
1278	د	1
1279	ذ	1
1280	ر	1
1281	ز	1
1282	س	1
1283	ش	1
1284	ص	1
1285	ض	1
1286	ط	1
1287	ظ	1
1288	ع	1
1289	غ	1
1290	ـ	1
1291	ف	1
1292	ق	1
1293	ك	1
1294	ل	1
1295	م	1
1296	ن	1
1297	ه	1
1298	و	1
1299	ى	1
1300	ي	1
1301	ٹ	1
1302	پ	1
1303	چ	1
1304	ک	1
1305	گ	1
1306	ں	1
1307	ھ	1
1308	ہ	1
1309	ی	1
1310	ے	1
1311	अ	1
1312	आ	1
1313	उ	1
1314	ए	1
1315	क	1
1316	ख	1
1317	ग	1
1318	च	1
1319	ज	1
1320	ट	1
1321	ड	1
1322	ण	1
1323	त	1
1324	थ	1
1325	द	1
1326	ध	1
1327	न	1
1328	प	1
1329	ब	1
1330	भ	1
1331	म	1
1332	य	1
1333	र	1
1334	ल	1
1335	व	1
1336	श	1
1337	ष	1
1338	स	1
1339	ह	1
1340	ा	1
1341	ि	1
1342	ी	1
1343	ो	1
1344	।	1
1345	॥	1
1346	ং	1
1347	অ	1
1348	আ	1
1349	ই	1
1350	উ	1
1351	এ	1
1352	ও	1
1353	ক	1
1354	খ	1
1355	গ	1
1356	চ	1
1357	ছ	1
1358	জ	1
1359	ট	1
1360	ড	1
1361	ণ	1
1362	ত	1
1363	থ	1
1364	দ	1
1365	ধ	1
1366	ন	1
1367	প	1
1368	ব	1
1369	ভ	1
1370	ম	1
1371	য	1
1372	র	1
1373	ল	1
1374	শ	1
1375	ষ	1
1376	স	1
1377	হ	1
1378	া	1
1379	ি	1
1380	ী	1
1381	ে	1
1382	க	1
1383	ச	1
1384	ட	1
1385	த	1
1386	ந	1
1387	ன	1
1388	ப	1
1389	ம	1
1390	ய	1
1391	ர	1
1392	ல	1
1393	ள	1
1394	வ	1
1395	ா	1
1396	ி	1
1397	ு	1
1398	ே	1
1399	ை	1
1400	ನ	1
1401	ರ	1
1402	ಾ	1
1403	ක	1
1404	ය	1
1405	ර	1
1406	ල	1
1407	ව	1
1408	ා	1
1409	ก	1
1410	ง	1
1411	ต	1
1412	ท	1
1413	น	1
1414	พ	1
1415	ม	1
1416	ย	1
1417	ร	1
1418	ล	1
1419	ว	1
1420	ส	1
1421	อ	1
1422	า	1
1423	เ	1
1424	་	1
1425	།	1
1426	ག	1
1427	ང	1
1428	ད	1
1429	ན	1
1430	པ	1
1431	བ	1
1432	མ	1
1433	འ	1
1434	ར	1
1435	ལ	1
1436	ས	1
1437	မ	1
1438	ა	1
1439	ბ	1
1440	გ	1
1441	დ	1
1442	ე	1
1443	ვ	1
1444	თ	1
1445	ი	1
1446	კ	1
1447	ლ	1
1448	მ	1
1449	ნ	1
1450	ო	1
1451	რ	1
1452	ს	1
1453	ტ	1
1454	უ	1
1455	ᄀ	1
1456	ᄂ	1
1457	ᄃ	1
1458	ᄅ	1
1459	ᄆ	1
1460	ᄇ	1
1461	ᄉ	1
1462	ᄊ	1
1463	ᄋ	1
1464	ᄌ	1
1465	ᄎ	1
1466	ᄏ	1
1467	ᄐ	1
1468	ᄑ	1
1469	ᄒ	1
1470	ᅡ	1
1471	ᅢ	1
1472	ᅥ	1
1473	ᅦ	1
1474	ᅧ	1
1475	ᅩ	1
1476	ᅪ	1
1477	ᅭ	1
1478	ᅮ	1
1479	ᅯ	1
1480	ᅲ	1
1481	ᅳ	1
1482	ᅴ	1
1483	ᅵ	1
1484	ᆨ	1
1485	ᆫ	1
1486	ᆯ	1
1487	ᆷ	1
